title,company,location,date,job_url,job_description,applied,hidden,interview,rejected,date_loaded
.Net Software Developer,J.D. Power,"London, Ontario, Canada",2024-03-12,https://www.linkedin.com/jobs/view/3849934042/,"Title: 
Software Developer - P3
Location: 
Remote Canada
Reports To: 
Manager, Software Development
 
J.D. Power
 is a global leader in consumer insights, advisory services and data and analytics. A pioneer in the use of big data, artificial intelligence (AI) and algorithmic modeling capabilities to understand consumer behavior, J.D. Power has been delivering incisive industry intelligence on customer interactions with brands and products for more than 50 years. The world's leading businesses across major industries rely on J.D. Power to guide their customer-facing strategies. 
The Role:
 
The Software Developer III contributes to all phases of the Software Development Lifecycle through the analysis, design, implementation, verification, and maintenance of software solutions. This role works closely with Business Unit stakeholders to review requirements, validate designs, create work estimates, develop software, and verify product releases. The Software Developer III also works in close collaboration with the Software Development Team Lead to define and implement best practices across all phases of the Software Development Lifecycle.
Core Job Duties And Responsibilities
- Design and code software applications from business and technical specifications 
- Develop and execute unit, component, and integration level tests to verify requirements are met 
- Perform code reviews to ensure quality, proactively identify defects, and recommend improvements 
- Investigate and resolve complex technical issues for assigned projects 
- Contribute to the creation of technical and end user product documentation 
Technical Lead Job Duties And Responsibilities
- Develop a detailed technical understanding of client needs and project requirements 
- Lead and coordinate day-to-day technical execution of on and offshore Engineering staff 
- Work with Architects to review and provide feedback for Software Design Documents 
- Act as the primary point of contact for Project Management status updates 
- Collaborate with technical stakeholders to create detailed work package estimates 
- Create, prioritize, assign, and monitor all software development tasks for assigned projects 
 
Education, Experience, And Competencies
- Post-secondary education in Computer Science or Software Engineering 
- 5+ years of software development experience with languages such as Java or .NET 
- Experience with .NET 
- Experience with MSSQL
- Experience with Azure would be beneficial 
- Experience with web servers such as IIS
- Experience with version control software such as Git 
- Experience with build tools such as Maven or Ant 
- Experience with continuous integration tools such as Jenkins or TeamCity 
- Experience with relational and non-relational database design and development 
- Exceptionally self-motivated, self-directed, and detail-oriented 
- Excellent communication, analytical, and problem-solving skills 
The Way We Work
- Leader Led
- Remote First
- Foster Flexibility
- Reward Performance
- Time Off Matters
Company Mission
 
J.D. Power is clear about what we do to ensure our success into the future. We unite industry leading data and insights with world-class technology to solve our clients’ toughest challenges.  
Our Values
 
At J.D. Power, we strive to be Truth Finders, Change Makers and Team Driven - the distinct behaviors that, together, define our unique culture.  
Truth Finders - At J.D. Power, we are proud of the unbiased data and findings we provide. As individuals, each and every member of our team is dedicated to living this same objectivity and embodying the highest ethical and professional standards – the only ‘favorite’ we have is the truth.  
Change Makers - At J.D. Power, we never stand still. We constantly seek better ways – innovating and evolving in everything we do to support our colleagues and our clients alike – and all in service of delivering data and insights that drive meaningful business impact.  
Team Driven -  
At J.D. Power, we are one team and we are activated. Regardless of individual role, every member of our team is dedicated to supporting their immediate colleagues and our broader J.D. Power family to deliver on our collective purpose and make us greater than the sum of our parts. At J.D. Power, these values are more than words.
J.D. Power is committed to employing a diverse workforce. Qualified applicants will receive consideration without regard to race, color, religion, sex, national origin, age, sexual orientation, gender identity, gender expression, veteran status, or disability.
J.D. Power is an equal-opportunity employer and compliant with AODA/ADA legislation. Should you require accommodations during the recruitment and selection process, please reach out to tarecruitment@jdpa.com.
 
To all recruitment agencies: J.D. Power does not accept unsolicited agency resumes and we are not responsible for any fees related to unsolicited resumes.
 
#remote
#Canada
                
            
                            
            ",0,0,0,0,2024-03-18 00:04:58.962223
Associate Software Engineer,"Buck, A Gallagher Company","Engineer, British Columbia, Canada",2024-03-14,https://www.linkedin.com/jobs/view/3855723460/,Could not find Job Description,0,0,0,0,2024-03-18 00:04:58.962223
C# Software Engineer,Broadsign,"Montreal, Quebec, Canada",2024-03-13,https://www.linkedin.com/jobs/view/3806787419/,Could not find Job Description,0,0,0,0,2024-03-18 00:04:58.962223
Cloud Software Engineer Intermediate,Astek Canada,"Toronto, Ontario, Canada",2024-03-15,https://www.linkedin.com/jobs/view/3855457916/,"Summary of day-to-day responsibilities:
Looking for a Cloud Software Engineer to assist with data transfers from legacy sources to GCP using Dataflow/Airflow/Apache Beam either batch or streaming.
Responsibilities:
• Responsible for developing and maintaining software applications in a cloud-based environment;
• Design, develop, test, and deploy cloud-based applications that meet the needs of customers and stakeholders;
• Collaborate with other engineers and stakeholders to ensure that applications are scalable, secure, and reliable;
• Collaborate with the data engineering team to integrate data pipeline code into CI/CD processes (GITLAB).
Must Have: 
• Hands-on experience with data integration tools and technologies such as Google Dataflow, AirFlow, Apache Beam, or equivalent;
• Experience with deploying and managing Big Data solutions on GCP, both batch and real-time;
• Experience with GCP's infrastructure-as-code tools, particularly Terraform, to provision and configure cloud resources;
• Knowledge of networking components (VPC, subnets, firewall rules) for secure communication;
• Strong programming skills in Python.        
            
                            
            ",0,0,0,0,2024-03-18 00:04:58.962223
Full Stack Software Engineer,Manulife,"Waterloo, Ontario, Canada",2024-03-16,https://www.linkedin.com/jobs/view/3837337553/,"We are a leading financial services provider committed to making decisions easier and lives better for our customers and colleagues around the world. From our environmental initiatives to our community investments, we lead with values throughout our business. To help us stand out, we help you step up, because when colleagues are healthy, respected and meaningfully challenged, we all thrive. Discover how you can grow your career, make impact and drive real change with our Winning Team today.
Working Arrangement
Hybrid
Job Description
The opportunity
Are you looking for a supportive, collaborative workplace with great teams and inspiring leaders? You’ve come to the right place. We’re looking for ambitious people who share our values and want to make every day better for people around the world.
Our team helps to drive out and complete a great banking experience for our customers. It’s banking, the way it should be! At Manulife Bank, we believe banking products are an integral part of every Canadians financial plan. As one of Canada's youngest banks, we are growing at an unprecedented rate and need people with the skills, energy, and drive to maintain our leadership position as an ""advisors bank."" If this sounds like you, and the career below sounds exciting, we’d like to hear from you to join our team’s exiting journey as we grow, pioneer, and innovate.
We are seeking an experienced and dedicated 
Full Stack Software Engineer
 to design, develop, and maintain robust software solutions. You will collaborate with multi-functional teams to deliver high-quality software products that meet our customer’s needs. You will work on new features and have an active voice in our digital solutions. Your positive approach, ability to be flexible to shifting priorities and creativity rooted in technology will help you navigate this exciting and growing business. We are looking for passionate, motivated individuals to join our team’s exciting journey as we grow, pioneer, and innovate.
As a Full Stack Software Engineer your charter will include:
Participate in ideation, and brainstorming sessions to devise creative and innovative digital solutions. We need and value fresh ideas!
- Design, code, unit test and integrate new features and functionality
- Collaborate with product partner, software engineers, quality engineers and IT business analysts to uncover opportunities to deliver new business value through software
- Maintain and ensure high quality software by writing clean, maintainable, and well-documented code that adheres to industry and coding standards, with accountability for production reliability and usage
- Build best in class applications, APIs, and data solutions to drive business and technical outcomes
- Review current software framework to identify defects and opportunities to improve performance and stability
- Research technical strategies, third party tools, and current and new technologies to deal with emerging technical issues and improve development efficiency
- Apply well-adapted coding practices to enable agility and delivery of high-quality code
- Promote agile principles and methodology
- Perform various investigative ""Spikes"" to mitigate technical uncertainty and risk
- Assist in the development of automated test harnesses as necessary to ensure delivery of high-quality code
- Update progress daily through the tracking tool (Jira) or Scrum/Kanban board
- Complete documentation as part of definition of done. e.g., deployment, maintenance, support and for business needs.
Experience Required For This Role Is As Follows
Bachelor’s degree in Computer Science, Software Engineering, or a related field (or equivalent experience)
- A veteran developer with at least 5 years of professional experience in software development, with a focus on backend development
- Good verbal and written communication; effectively articulates technical vision, possibilities, and outcomes
- Proficient in these key technologies C# .NET, Spring Boot, Node.js/React, Oracle Databases, AzureDB, JavaScript, and Azure cloud services
- Exposure to Java, Jenkins, AKS (Azure Kubernetes Service), Maven, SonarQube, GitHub, and experience working with APIs
- Familiarity with agile and DevOps principles, test-driven development, continuous integration, and other approaches to accelerate the delivery of new features
- You have hands on experience with progressive architectural styles such as microservices
- Hands-on RDBMS experience (data modeling, analysis, programming, stored procedures)
- Good foundation in data structures, algorithms, and OO Design with rock-solid programming skills
- Collaborative attitude, willingness to work with team members; able to coach, participate in code reviews, share skills and methods. Also efficiently communicate technical concepts to both technical and non-technical collaborators
- Constantly learns from both success and failure and is keen on experimenting with emerging technologies
- Good organizational and problem-solving abilities that enable you to manage through creative abrasion
Additional Attributes That Are Nice To Have
- Agile team experience where responsibilities include the planning and delivery of user stories in an Agile SCRUM environment
- Banking Industry knowledge/experience
What can we offer you? 
- A competitive salary and benefits packages.
- A growth trajectory that extends upward and outward, encouraging you to follow your passions and learn new skills.
- A focus on growing your career path with us.
- Flexible work policies and strong work-life balance.
- Professional development and leadership opportunities.
Our commitment to you
Values-first culture 
We lead with our Values every day and bring them to life together.
Boundless opportunity 
We create opportunities to learn and grow at every stage of your career.
Continuous innovation 
We invite you to help redefine the future of financial services.
Delivering the promise of Diversity, Equity, and Inclusion 
We foster an inclusive workplace where everyone thrives.
About Manulife And John Hancock
Manulife Financial Corporation is a leading international financial services group that helps people make their decisions easier and lives better. With our global headquarters in Toronto, Canada, we operate as Manulife across our offices in Asia, Canada, and Europe, and primarily as John Hancock in the United States. We provide financial advice, insurance, and wealth and asset management solutions for individuals, groups and institutions. At the end of 2022, we had more than 40,000 employees, over 116,000 agents, and thousands of distribution partners, serving over 34 million customers. At the end of 2022, we had $1.3 trillion (US$1.0 trillion) in assets under management and administration, including total invested assets of $0.4 trillion (US $0.3 trillion), and segregated funds net assets of $0.3 trillion (US$0.3 trillion). We trade as ‘MFC’ on the Toronto, New York, and the Philippine stock exchanges, and under ‘945’ in Hong Kong.
Manulife is an Equal Opportunity Employer
At Manulife
/John
 Hancock
, we embrace our diversity. We strive to attract, 
develop
 and 
retain
 a workforce that is as diverse as the customers we serve and to foster an inclusive work environment that embraces the strength of cultures and individuals. We are committed to fair recruitment, retention, advancement and compensation, and we administer all of our practices and programs without discrimination on the basis of race, ancestry, place of origin, 
colour
, ethnic origin, citizenship, religion or religious beliefs, creed, sex (including pregnancy and pregnancy-related conditions), sexual orientation, genetic characteristics, veteran status, gender identity, gender expression, age, marital status, family status, disability, or any other ground protected by applicable law.
It is our priority to remove barriers to 
provide
 equal access to employment. A Human Resources representative will work with applicants who request a reasonable accommodation during the application process
. 
All information shared during the accommodation request process will be stored and used in a manner that is consistent with 
applicable laws and Manulife/John Hancock policies
. To request a reasonable accommodation in the application process, contact recruitment@manulife.com.
Salary & Benefits
The annual base salary for this role is listed below.
Primary Location
Waterloo, Ontario
Salary range is expected to be between
$74,270.00 CAD - $137,930.00 CAD
If you are applying for this role outside of the primary location, please contact recruitment@manulife.com for the salary range for your location. The actual salary will vary depending on local market conditions, geography and relevant job-related factors such as knowledge, skills, qualifications, experience, and education/training. Employees also have the opportunity to participate in incentive programs and earn incentive compensation tied to business and individual performance.
Manulife offers eligible employees a wide array of customizable benefits, including health, dental, mental health, vision, short- and long-term disability, life and AD&D insurance coverage, adoption/surrogacy and wellness benefits, and employee/family assistance plans. We also offer eligible employees various retirement savings plans (including pension and a global share ownership plan with employer matching contributions) and financial education and counseling resources. Our generous paid time off program in Canada includes holidays, vacation, personal, and sick days, and we offer the full range of statutory leaves of absence. If you are applying for this role in the U.S., please contact recruitment@manulife.com for more information about U.S.-specific paid time off provisions.
                
            
                            
            ",0,0,0,0,2024-03-18 00:04:58.962223
Fullstack Mobile Software Engineer,Built With Science,"Vancouver, British Columbia, Canada",2024-03-15,https://www.linkedin.com/jobs/view/3859443873/,Could not find Job Description,0,0,0,0,2024-03-18 00:04:58.962223
Genomics Software Engineer,Intelliswift Software,Canada,2024-03-13,https://www.linkedin.com/jobs/view/3852359420/,Could not find Job Description,0,0,0,0,2024-03-18 00:04:58.962223
Job Posting Title Full Stack Software Developer (North Shore),CAE,"Mirabel, Quebec, Canada",2024-03-13,https://www.linkedin.com/jobs/view/3855309156/,Could not find Job Description,0,0,0,0,2024-03-18 00:04:58.962223
Junior Database Developer,Patterned Learning Career,"Winnipeg, Manitoba, Canada",2024-03-17,https://www.linkedin.com/jobs/view/3860766008/,Could not find Job Description,0,0,0,0,2024-03-18 00:04:58.962223
"Junior Software Engineer, Trilogy (Remote) - $60,000/year USD",Crossover,"Vancouver, British Columbia, Canada",2024-03-15,https://www.linkedin.com/jobs/view/3853266193/,"Crossover is the world's #1 source of full-time remote jobs. Our clients offer top-tier pay for top-tier talent. We're recruiting this role for our client, Trilogy. Have you got what it takes?
Ready to leverage your mastery of LLMs to drive productivity? At Trilogy, we're opening doors to an exceptional tech career, welcoming those who've honed their AI skills to elevate their expertise in a dynamic environment. We're offering a rare chance where your primary focus will be to further expand your proficiency in LLMs.
In an industry often filled with more buzzwords than tangible progress, Trilogy stands out as a hub of genuine innovation. Our focus is on practical, real-world applications aimed at reshaping industries. Imagine creating AI-driven tools that streamline workflow, automate tasks, or enhance decision-making processes, all to significantly boost productivity.
Your mandate? Harnessing LLMs to revolutionize how businesses operate, improving efficiency and effectiveness. You'll be architecting solutions that integrate AI seamlessly, making intricate processes more accessible and refining workflows for maximum output.
Here, you won't be lost in bureaucratic hurdles or pitching ideas into the void. Instead, you'll witness the direct impact of your efforts, as your work directly influences the evolution of productivity tools.
Ready to unleash your expertise and become a force of change? Let's explore if you're the catalyst we're seeking for this exciting opportunity!
What You Will Be Doing
- Rapidly advancing your AI expertise through specialized training and applying this knowledge to create autonomous, AI-driven educational platforms and tools
- Experimenting with state-of-the-art AI tools like GPT-4 Vision and Amazon CodeWhisperer, integrating them into our developmental process to assess and enhance their utility
- Evaluating and optimizing the implementation of AI solutions across various infrastructures, including AWS, to ensure seamless performance and integration
What You Won’t Be Doing
- Traditional coding - our AI does the heavy lifting, freeing you to innovate and strategize
- Being stuck on repetitive tasks - no two problems are the same
Junior Software Engineer Key Responsibilities
Architecting and deploying sophisticated, fully-automated AI systems that require zero human intervention for a truly scalable impact
Basic Requirements
- Professional experience leveraging LLMs, such as ChatGPT, Bing, Bard, or Claude, to automate manual tasks and boost your company's productivity
- Advanced proficiency in Python
About Trilogy
Hundreds of software businesses run on the Trilogy Business Platform. For three decades, Trilogy has been known for 3 things: Relentlessly seeking top talent, Innovating new technology, and incubating new businesses. Our technological innovation is spearheaded by a passion for simple customer-facing designs. Our incubation of new businesses ranges from entirely new moon-shot ideas to rearchitecting existing projects for today's modern cloud-based stack. Trilogy is a place where you can be surrounded with great people, be proud of doing great work, and grow your career by leaps and bounds.
There is so much to cover for this exciting role, and space here is limited. Hit the Apply button if you found this interesting and want to learn more. We look forward to meeting you!
Working with Crossover
This is a full-time (40 hours per week), long-term position. The position is immediately available and requires entering into an independent contractor agreement with Crossover. The compensation level for this role is $30 USD/hour, which equates to $60,000 USD/year assuming 40 hours per week and 50 weeks per year. The payment period is weekly. Consult www.crossover.com/help-and-faqs for more details on this topic.
What to expect next:
- You will receive an email with a link to start your self-paced, online job application.
- Our hiring platform will guide you through a series of online “screening” assessments to check for basic job fit, job-related skills, and finally a few real-world job-specific assignments.
Important!
 If you do not receive an email from us:
- First, emails may take up to 15 minutes to send, refresh and check again.
- Second, check your spam and junk folders for an email from Crossover.com, mark as “Not Spam” since you will receive other emails as well.
- Third, we will send to whatever email account you indicated on the Apply form - by default, that is the email address you use as your LinkedIn username and it might be different than the one you have already checked.
- If all else fails, just reset your password by visiting https://www.crossover.com/auth/password-recovery if you already applied using LinkedIn EasyApply.
Crossover Job Code: LJ-5105-CA-Vancouve-JuniorSoftware.003        
            
                            
            ",0,0,0,0,2024-03-18 00:04:58.962223
